"Forest","Plot","Year","Date","Quadrant","Common.name","DBH_cm"
"Kip tract",1,2021,"15-Sep-21",2,"black cherry",13.2
"Kip tract",1,2021,"15-Sep-21",2,"red maple",39.3
"Kip tract",1,2021,"15-Sep-21",2,"red maple",22.6
"Kip tract",1,2021,"15-Sep-21",2,"American beech",11
"Kip tract",1,2021,"15-Sep-21",2,"red maple",29.9
"Kip tract",1,2021,"15-Sep-21",2,"red maple",17.8
"Kip tract",1,2021,"15-Sep-21",2,"American beech",14.2
"Kip tract",1,2021,"15-Sep-21",1,"American beech",17.8
"Kip tract",1,2021,"15-Sep-21",1,"red maple",26.4
"Kip tract",1,2021,"15-Sep-21",1,"red maple",17.1
"Kip tract",1,2021,"15-Sep-21",1,"red maple",15.4
"Kip tract",1,2021,"15-Sep-21",1,"red maple",12.4
"Kip tract",1,2021,"15-Sep-21",1,"American beech",25.25
"Kip tract",1,2021,"15-Sep-21",3,"red maple",76.8
"Kip tract",1,2021,"15-Sep-21",3,"red maple",12.8
"Kip tract",1,2021,"15-Sep-21",3,"red maple",33.25
"Kip tract",1,2021,"15-Sep-21",3,"red maple",14
"Kip tract",1,2021,"15-Sep-21",3,"red maple",28.5
"Kip tract",1,2021,"15-Sep-21",3,"red maple",25
"Kip tract",1,2021,"15-Sep-21",4,"red maple",35.9
"Kip tract",1,2021,"15-Sep-21",4,"American beech",15.2
"Kip tract",1,2021,"15-Sep-21",4,"white pine",68.4
"Kip tract",1,2021,"15-Sep-21",4,"red maple",22.6
"Kip tract",1,2021,"15-Sep-21",4,"red maple",13.4
"Kip tract",2,2021,"22-Sep-21",1,"silver maple",46.4
"Kip tract",2,2021,"22-Sep-21",1,"silver maple",34.8
"Kip tract",2,2021,"22-Sep-21",1,"red maple",12.8
"Kip tract",2,2021,"22-Sep-21",1,"silver maple",41.8
"Kip tract",2,2021,"22-Sep-21",1,"silver maple",48.8
"Kip tract",2,2021,"22-Sep-21",1,"silver maple",14.4
"Kip tract",2,2021,"22-Sep-21",1,"silver maple",17.2
"Kip tract",2,2021,"22-Sep-21",2,"silver maple",19.8
"Kip tract",2,2021,"22-Sep-21",2,"American elm",16
"Kip tract",2,2021,"22-Sep-21",2,"red maple",31.4
"Kip tract",2,2021,"22-Sep-21",2,"sugar maple",19.3
"Kip tract",2,2021,"22-Sep-21",3,"black ash",28.3
"Kip tract",2,2021,"22-Sep-21",3,"red maple",12.2
"Kip tract",2,2021,"22-Sep-21",3,"black ash",18.8
"Kip tract",2,2021,"22-Sep-21",4,"silver maple",84.9
"Kip tract",2,2021,"22-Sep-21",4,"silver maple",35.4
"Kip tract",2,2021,"22-Sep-21",4,"black ash",19.7
"Kip tract",2,2021,"22-Sep-21",4,"silver maple",32.3
"Kip tract",2,2021,"22-Sep-21",4,"silver maple",24.2
"Kip tract",2,2021,"22-Sep-21",4,"silver maple",14.7
"Kip tract",3,2021,"22-Sep-21",1,"red maple",27.3
"Kip tract",3,2021,"22-Sep-21",1,"black ash",13.8
"Kip tract",3,2021,"22-Sep-21",1,"green ash",32.4
"Kip tract",3,2021,"22-Sep-21",2,"yellow birch",12.7
"Kip tract",3,2021,"22-Sep-21",2,"basswood",37.9
"Kip tract",3,2021,"22-Sep-21",2,"black ash",15.5
"Kip tract",3,2021,"22-Sep-21",2,"basswood",29.7
"Kip tract",3,2021,"22-Sep-21",2,"ironwood",16.9
"Kip tract",3,2021,"22-Sep-21",2,"muscle wood",10
"Kip tract",3,2021,"22-Sep-21",2,"yellow birch",29
"Kip tract",3,2021,"22-Sep-21",2,"yellow birch",35
"Kip tract",3,2021,"22-Sep-21",2,"yellow birch",18.5
"Kip tract",3,2021,"22-Sep-21",2,"American elm",10.8
"Kip tract",3,2021,"22-Sep-21",3,"yellow birch",25.5
"Kip tract",3,2021,"22-Sep-21",3,"green ash",36.6
"Kip tract",3,2021,"22-Sep-21",3,"American elm",14.5
"Kip tract",3,2021,"22-Sep-21",4,"yellow birch",66.5
"Kip tract",3,2021,"22-Sep-21",4,"American elm",12.6
"Kip tract",3,2021,"22-Sep-21",4,"ironwood",25.8
"Kip tract",3,2021,"22-Sep-21",4,"red maple",32.1
"Kip tract",3,2021,"22-Sep-21",4,"yellow birch",34.6
"Donnerville",1,2021,"29-Sep-21",1,"sugar maple",25.1
"Donnerville",1,2021,"29-Sep-21",1,"red maple",18
"Donnerville",1,2021,"29-Sep-21",1,"sugar maple",17.1
"Donnerville",1,2021,"29-Sep-21",1,"sugar maple",16.3
"Donnerville",1,2021,"29-Sep-21",1,"sugar maple",14.4
"Donnerville",1,2021,"29-Sep-21",1,"red maple",25.3
"Donnerville",1,2021,"29-Sep-21",1,"sugar maple",16.2
"Donnerville",1,2021,"29-Sep-21",2,"sugar maple",14
"Donnerville",1,2021,"29-Sep-21",2,"sugar maple",19.4
"Donnerville",1,2021,"29-Sep-21",2,"red maple",79
"Donnerville",1,2021,"29-Sep-21",3,"sugar maple",23.2
"Donnerville",1,2021,"29-Sep-21",3,"sugar maple",16.6
"Donnerville",1,2021,"29-Sep-21",3,"red maple",18.4
"Donnerville",1,2021,"29-Sep-21",3,"quaking aspen",24.5
"Donnerville",1,2021,"29-Sep-21",3,"white ash",14.3
"Donnerville",1,2021,"29-Sep-21",3,"quaking aspen",37
"Donnerville",1,2021,"29-Sep-21",4,"sugar maple",27.5
"Donnerville",1,2021,"29-Sep-21",4,"red maple",18.6
"Donnerville",1,2021,"29-Sep-21",4,"red maple",19.4
"Donnerville",1,2021,"29-Sep-21",4,"red maple",18.11
"Donnerville",2,2021,"29-Sep-21",1,"white ash",19
"Donnerville",2,2021,"29-Sep-21",1,"red maple",45.1
"Donnerville",2,2021,"29-Sep-21",1,"juneberry",13.9
"Donnerville",2,2021,"29-Sep-21",1,"American beech",10.6
"Donnerville",2,2021,"29-Sep-21",1,"juneberry",18.8
"Donnerville",2,2021,"29-Sep-21",2,"juneberry",11.9
"Donnerville",2,2021,"29-Sep-21",2,"red maple",22
"Donnerville",2,2021,"29-Sep-21",2,"red maple",50.4
"Donnerville",2,2021,"29-Sep-21",2,"juneberry",11.2
"Donnerville",2,2021,"29-Sep-21",2,"black cherry",33.5
"Donnerville",2,2021,"29-Sep-21",3,"white ash",24.3
"Donnerville",2,2021,"29-Sep-21",3,"red maple",13.3
"Donnerville",2,2021,"29-Sep-21",3,"black cherry",9.9
"Donnerville",2,2021,"29-Sep-21",3,"black cherry",35.9
"Donnerville",2,2021,"29-Sep-21",3,"red maple",102.6
"Donnerville",2,2021,"29-Sep-21",3,"American beech",14.6
"Donnerville",2,2021,"29-Sep-21",4,"sugar maple",32.4
"Donnerville",2,2021,"29-Sep-21",4,"sugar maple",13.3
"Donnerville",2,2021,"29-Sep-21",4,"American beech",14.7
"Donnerville",2,2021,"29-Sep-21",4,"sugar maple",21.8
"Donnerville",2,2021,"29-Sep-21",4,"black cherry",31.6
"Donnerville",2,2021,"29-Sep-21",4,"juneberry",11.2
"Donnerville",2,2021,"29-Sep-21",4,"sugar maple",10.7
"Donnerville",2,2021,"29-Sep-21",4,"American beech",10.3
"Donnerville",3,2021,"29-Sep-21",1,"sugar maple",33.9
"Donnerville",3,2021,"29-Sep-21",1,"sugar maple",46.3
"Donnerville",3,2021,"29-Sep-21",1,"sugar maple",12.8
"Donnerville",3,2021,"29-Sep-21",1,"American beech",13.2
"Donnerville",3,2021,"29-Sep-21",1,"yellow birch",20.2
"Donnerville",3,2021,"29-Sep-21",1,"yellow birch",26.5
"Donnerville",3,2021,"29-Sep-21",2,"sugar maple",14.4
"Donnerville",3,2021,"29-Sep-21",2,"black cherry",34.4
"Donnerville",3,2021,"29-Sep-21",2,"sugar maple",67.5
"Donnerville",3,2021,"29-Sep-21",2,"ironwood",12.9
"Donnerville",3,2021,"29-Sep-21",4,"sugar maple",13.6
"Donnerville",3,2021,"29-Sep-21",4,"sugar maple",11.2
"Donnerville",3,2021,"29-Sep-21",3,"sugar maple",17.8
"Donnerville",3,2021,"29-Sep-21",3,"yellow birch",39
"Donnerville",3,2021,"29-Sep-21",3,"sugar maple",16.2
"Donnerville",3,2021,"29-Sep-21",3,"sugar maple",11.9
"South Hammond",1,2021,"6-Oct-21",1,"red maple",13.8
"South Hammond",1,2021,"6-Oct-21",1,"red maple",24.1
"South Hammond",1,2021,"6-Oct-21",1,"red oak",15.4
"South Hammond",1,2021,"6-Oct-21",1,"red oak",11.3
"South Hammond",1,2021,"6-Oct-21",1,"red oak",15.9
"South Hammond",1,2021,"6-Oct-21",1,"red maple",49
"South Hammond",1,2021,"6-Oct-21",2,"red oak",29.2
"South Hammond",1,2021,"6-Oct-21",2,"red oak",24.4
"South Hammond",1,2021,"6-Oct-21",2,"red oak",22.1
"South Hammond",1,2021,"6-Oct-21",2,"white pine",38.6
"South Hammond",1,2021,"6-Oct-21",2,"white pine",10.3
"South Hammond",1,2021,"6-Oct-21",2,"red oak",14.1
"South Hammond",1,2021,"6-Oct-21",3,"red oak",20.2
"South Hammond",1,2021,"6-Oct-21",3,"red oak",14.4
"South Hammond",1,2021,"6-Oct-21",3,"red oak",13.5
"South Hammond",1,2021,"6-Oct-21",3,"red oak",10.9
"South Hammond",1,2021,"6-Oct-21",3,"red oak",10.1
"South Hammond",1,2021,"6-Oct-21",3,"white oak",18.2
"South Hammond",1,2021,"6-Oct-21",3,"red oak",13.6
"South Hammond",1,2021,"6-Oct-21",3,"white ash",15.9
"South Hammond",1,2021,"6-Oct-21",4,"white pine",44.5
"South Hammond",1,2021,"6-Oct-21",4,"red oak",18.3
"South Hammond",1,2021,"6-Oct-21",4,"white oak",11.3
"South Hammond",1,2021,"6-Oct-21",4,"red oak",10
"South Hammond",2,2021,"13-Oct-21",1,"red oak",30.75
