"Forest","Plot","American beech","red pine","white pine","quaking aspen","red maple","sugar maple","white ash","black cherry","juneberry","ironwood","yellow birch","American elm","black ash","silver maple","basswood","green ash","muscle wood","red spruce","red oak","white oak","shagbark hickory"
"Degrasse",1,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Degrasse",2,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Degrasse",3,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donnerville",1,0,0,0,2,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donnerville",2,4,0,0,0,5,4,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"Donnerville",3,1,0,0,0,0,10,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0
"Kip tract",1,5,0,1,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kip tract",2,0,0,0,0,3,1,0,0,0,0,0,1,3,12,0,0,0,0,0,0,0
"Kip tract",3,0,0,0,0,2,0,0,0,0,2,7,3,2,0,2,2,1,0,0,0,0
"Peavine Swamp",1,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Peavine Swamp",2,8,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peavine Swamp",3,4,0,0,0,3,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"South Hammond",1,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,15,2,0
"South Hammond",2,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,12,1,0
"South Hammond",3,0,0,9,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,9,3,2
